0;Abilene Chr;abilene christian wildcats
1;Air Force;air force falcons
2;Akron;akron zips
3;Alabama;alabama crimson tide
4;Alabama A&M;alabama a%26m bulldogs
5;Alabama St;alabama state hornets
6;Albany NY;albany great danes
7;Alcorn St;alcorn state braves
8;Alliant Intl;
9;American Univ;american university eagles
10;Appalachian St;appalachian state mountaineers
11;Arizona;arizona wildcats
12;Arizona St;arizona state sun devils
13;Ark Little Rock;ualr trojans
14;Ark Pine Bluff;uapb golden lions
15;Arkansas;arkansas razorbacks
16;Arkansas St;arkansas state red wolves
17;Armstrong St;
18;Army;army black knights
19;Auburn;auburn tigers
20;Augusta;
21;Austin Peay;austin peay governors
22;BYU;byu cougars
23;Ball St;ball state cardinals
24;Baylor;baylor bears
25;Belmont;belmont bruins
26;Bethune-Cookman;bethune cookman wildcats
27;Binghamton;binghamton bearcats
28;Birmingham So;
29;Boise St;boise state broncos
30;Boston College;boston college eagles
31;Boston Univ;boston university terriers
32;Bowling Green;bowling green falcons
33;Bradley;bradley braves
34;Brooklyn;
35;Brown;brown bears
36;Bryant;bryant bulldogs
37;Bucknell;bucknell bison
38;Buffalo;buffalo bulls
39;Butler;butler bulldogs
40;C Michigan;central michigan chippewas
41;CS Bakersfield;bakersfield roadrunners
42;CS Fullerton;cal state fullerton titans
43;CS Northridge;csun matadors
44;CS Sacramento;sacramento state hornets
45;Cal Poly SLO;cal poly mustangs
46;California;california golden bears
47;Campbell;campbell fighting camels
48;Canisius;canisius golden griffins
49;Cent Arkansas;central arkansas bears
50;Centenary;
51;Central Conn;central connecticut state blue devils
52;Charleston So;charleston southern buccaneers
53;Charlotte;charlotte 49ers
54;Chattanooga;chattanooga mocs
55;Chicago St;chicago state cougars
56;Cincinnati;cincinnati bearcats
57;Citadel;citadel bulldogs
58;Clemson;clemson tigers
59;Cleveland St;cleveland state vikings
60;Coastal Car;coastal carolina chanticleers
61;Col Charleston;charleston cougars
62;Colgate;colgate raiders
63;Colorado;colorado buffaloes
64;Colorado St;colorado state rams
65;Columbia;columbia lions
